	Bayesian Skyline: cqHan_combine.log			
time	mean	median	upper	lower
0.0	1.1580362409018675E7	9694739.434087986	2.905432284133719E7	6518539.261465968
694.1804032148908	1.1549110608039513E7	9684698.491818095	2.878159610344118E7	6540889.419679371
1388.3608064297816	1.1331357310042057E7	9613708.537235798	2.7233939358345974E7	6498570.838051912
2082.5412096446726	1.0176093280810809E7	9225130.370897507	2.109944129793018E7	6070516.948014886
2776.7216128595633	9187041.569787722	8808484.553423848	1.5168327054622654E7	5384919.038571806
3470.902016074454	8844980.296528885	8616852.52498639	1.392699627492961E7	5089006.286927447
4165.082419289345	8667229.30132645	8493846.240667276	1.3557446661794761E7	4783900.105251083
4859.262822504236	8342306.822545437	8296689.831592085	1.3203863615369992E7	3755923.340316165
5553.443225719127	7703032.209810625	7918736.8117917	1.2574752751694646E7	1837442.4389516956
6247.623628934019	3063726.7082348554	645072.6913113727	1.015008808469756E7	359628.2372429292
6941.80403214891	524262.6727008736	563510.0045167517	735860.9658174563	232505.17437858475
7635.984435363801	659084.7618416271	631392.6031384285	999976.142464747	435865.65611503687
8330.164838578692	677361.0453848824	642605.705843654	1017116.9960532273	504592.2707914739
9024.345241793582	681423.8485446713	645072.6913113727	1028021.0571357126	508927.9723914634
9718.525645008473	680239.6382079003	645392.6646116009	1024216.0361645655	502499.95084631763
10412.706048223363	664767.1813071471	639674.3886520151	999816.2513518597	312248.3898398608
11106.886451438253	536556.5085078399	581072.6449869933	910547.5687756083	250481.81350845998
11801.066854653143	328881.83365458355	285900.21760916454	675038.298631471	229711.6423037758
12495.247257868034	286032.98521582567	278949.7083669178	382893.94766933937	226936.67736655797
13189.427661082924	280385.50412249856	277738.6506694807	344398.5446016339	227297.26574443444
13883.608064297814	279586.147033602	277627.5716794976	342476.07426362735	227614.55378838553
14577.788467512704	279542.72434892744	277579.5406857884	342254.90602936124	227559.38790954018
15271.968870727595	279464.0160663427	277541.3261813103	341730.1372844635	227453.23357146393
15966.149273942485	279489.17995310464	277554.6236858097	342091.1320139811	227453.23357146393
16660.329677157377	279479.0037837316	277535.61436082906	341898.1703482702	227453.23357146393
